date,cash,portfolio_value,n_positions,n_trades
2024-06-18,197456.6222267077,197456.6222267077,0,0
2024-06-19,197456.6222267077,197456.6222267077,0,0
2024-06-20,197456.6222267077,197456.6222267077,0,0
2024-06-21,197456.6222267077,197456.6222267077,0,0
2024-06-24,197456.6222267077,197456.6222267077,0,0
2024-06-25,197456.6222267077,197456.6222267077,0,0
2024-06-26,197456.6222267077,197456.6222267077,0,0
2024-06-27,197456.6222267077,197456.6222267077,0,0
2024-06-28,197456.6222267077,197456.6222267077,0,0
2024-07-01,197456.6222267077,197456.6222267077,0,0
2024-07-02,197456.6222267077,197456.6222267077,0,0
2024-07-03,197456.6222267077,197456.6222267077,0,0
2024-07-04,197456.6222267077,197456.6222267077,0,0
2024-07-05,197456.6222267077,197456.6222267077,0,0
2024-07-08,197456.6222267077,197456.6222267077,0,0
2024-07-09,197456.6222267077,197456.6222267077,0,0
2024-07-10,197456.6222267077,197456.6222267077,0,0
2024-07-11,197456.6222267077,197456.6222267077,0,0
2024-07-12,10322.44681872752,193592.69705372752,2,2
2024-07-15,1776.4468187275202,187479.0169737275,4,2
2024-07-16,4566.830300321417,191893.83030032142,5,3
2024-07-17,4566.830300321417,191712.83030032142,5,0
2024-07-18,7668.004120321391,192458.0041203214,2,5
2024-07-19,584.0041203213918,189454.0041203214,4,2
2024-07-22,2482.7911907597954,197733.0643107598,4,2
2024-07-23,6481.790190759795,207347.03339075978,3,1
2024-07-24,159525.5598907598,200015.84005075978,1,2
2024-07-25,8082.688340759778,197918.99138075978,2,1
2024-07-26,2386.5030660144294,200661.44561601445,3,3
2024-07-29,1756.8525333365105,203431.3541353365,4,3
2024-07-30,1756.8525333365105,210947.54209933648,4,0
2024-07-31,85223.7793025583,220431.5967985583,4,2
2024-08-01,5514.946749463197,222135.3485814632,5,3
2024-08-02,2799.777998288162,220030.86763428815,4,3
2024-08-05,272.52291028816217,217561.85494928816,5,1
2024-08-06,126934.78787991445,219001.08778391447,3,2
2024-08-07,9809.80431438204,216146.38477838205,4,3
2024-08-08,42915.72521435004,214635.29561435003,3,1
2024-08-09,45672.69648287804,209797.26363487804,2,1
2024-08-12,45672.69648287804,207711.24537887803,2,0
2024-08-13,207616.45282777387,207616.45282777387,0,2
2024-08-14,11459.780927773885,209139.78092777389,1,1
2024-08-15,11459.780927773885,208719.78092777389,1,0
2024-08-16,11459.780927773885,207459.78092777389,1,0
2024-08-19,11459.780927773885,203539.78092777389,1,0
2024-08-20,202867.7417277739,202867.7417277739,0,1
2024-08-21,202867.7417277739,202867.7417277739,0,0
2024-08-22,202867.7417277739,202867.7417277739,0,0
2024-08-23,10467.389087773889,198963.3890877739,1,1
2024-08-26,985.3890877738886,210914.3890877739,2,1
2024-08-27,985.3890877738886,208012.3890877739,2,0
2024-08-28,985.3890877738886,207594.3890877739,2,0
2024-08-29,195415.58084777388,204896.58084777388,1,1
2024-08-30,11249.444225767162,215882.80742576715,2,3
2024-09-02,6748.551779075053,215491.93183107505,3,3
2024-09-03,6748.551779075053,216306.99912307505,3,0
2024-09-04,400.466663075053,215055.02755507507,5,2
2024-09-05,100451.90231307506,215985.94003907504,4,1
2024-09-06,10779.389475422504,213194.9391394225,3,5
2024-09-09,14245.267505254504,212545.2675052545,2,1
2024-09-10,14245.267505254504,216220.2675052545,2,0
2024-09-11,14245.267505254504,216524.2675052545,2,0
2024-09-12,217916.0503552545,217916.0503552545,0,2
2024-09-13,11438.501255254494,210148.5012552545,1,1
2024-09-18,704.501255254494,206454.5012552545,3,2
2024-09-19,10142.02347141187,201038.62131141187,2,3
2024-09-20,901.0234714118706,195384.1470874119,3,1
2024-09-23,6279.332471411871,192341.84612341187,2,1
2024-09-24,183607.42132180702,193057.42132180702,1,1
2024-09-25,193205.61932180703,193205.61932180703,0,1
2024-09-26,10196.937930014072,196754.70426601407,2,2
2024-09-27,10196.937930014072,199173.2370660141,2,0
2024-09-30,10196.937930014072,210036.50433001405,2,0
2024-10-08,224613.0582141395,224613.0582141395,0,2
2024-10-09,224613.0582141395,224613.0582141395,0,0
2024-10-10,13645.127464139514,221825.1274641395,2,2
2024-10-11,1596.333668139514,220467.47654013953,4,2
2024-10-14,814.3261161395139,227477.42656413952,5,1
