date,代码,名称,action,price,shares,amount,cost,profit,profit_pct,reason,hold_days
2026-03-23,sh.600082,海泰发展,SELL,3.57,4900,17493.0,10.233405000000001,-1432.8410949999998,-0.07574914422429532,STOP_LOSS,4
2026-03-23,sz.000635,英力特,SELL,8.19,12300,100737.0,58.931145,-10892.41382999999,-0.09762809631964076,STOP_LOSS,3
2026-03-24,sh.600333,长春燃气,SELL,5.35,23500,125724.99999999999,73.549125,-6194.755100000009,-0.04698470505229879,STOP_LOSS,2
2026-03-24,sh.600246,万通发展,SELL,9.97,12500,124625.00000000001,72.90562500000001,-6709.061874999985,-0.051112317357786374,STOP_LOSS,2
2026-03-24,sh.600694,大商股份,BUY,16.3,11100,180930.0,15.379050000000001,0.0,,SIGNAL,0
2026-03-24,sz.000950,重药控股,BUY,5.29,34600,183034.0,15.55789,0.0,,SIGNAL,0
2026-03-25,sh.605255,天普股份,SELL,102.5,100,10250.0,6.125,141.875,0.014044248663630965,HOLD_EXPIRE,4
2026-03-25,sz.001225,和泰机电,BUY,48.3,500,24150.0,2.05275,0.0,,SIGNAL,0
2026-03-27,sz.000950,重药控股,SELL,5.45,34600,188570.0,110.31344999999999,5410.128660000017,0.02955554070909653,SIGNAL_REVERSE,3
2026-03-27,sh.603358,华达科技,BUY,27.81,6600,183546.0,15.601410000000001,0.0,,SIGNAL,0
2026-03-30,sh.600694,大商股份,SELL,16.27,11100,180597.0,105.64924500000001,-454.02829499999643,-0.0025092008283590177,HOLD_EXPIRE,4
2026-03-30,sh.603358,华达科技,SELL,30.29,6600,199914.0,116.94969,16235.448899999988,0.08844686892732415,TAKE_PROFIT,1
2026-03-30,sz.002943,宇晶股份,BUY,46.67,3900,182013.0,15.471105000000001,0.0,,SIGNAL,0
2026-03-30,sh.600476,湘邮科技,BUY,10.69,17600,188144.0,15.99224,0.0,,SIGNAL,0
2026-03-31,sz.001225,和泰机电,SELL,48.26,500,24130.0,14.11605,-36.168799999999464,-0.0014975455864719186,HOLD_EXPIRE,4
2026-03-31,sh.603358,华达科技,BUY,33.85,600,20310.0,1.72635,0.0,,SIGNAL,0
2026-03-31,sh.605288,凯迪股份,BUY,89.94,200,17988.0,1.52898,0.0,,SIGNAL,0
2026-04-01,sz.001225,和泰机电,BUY,49.8,100,4980.0,1.0,0.0,,SIGNAL,0
2026-04-03,sz.002943,宇晶股份,SELL,45.55,3900,177645.0,103.922325,-4487.393429999996,-0.02465215140664188,HOLD_EXPIRE,4
2026-04-03,sh.600476,湘邮科技,SELL,10.78,17600,189728.0,110.99088,1457.0168800000101,0.00774349989418351,HOLD_EXPIRE,4
2026-04-03,sh.603008,喜临门,BUY,12.63,13800,174294.0,14.814990000000002,0.0,,SIGNAL,0
2026-04-03,sz.002928,华夏航空,BUY,8.08,21700,175336.0,14.90356,0.0,,SIGNAL,0
